VMail Message;Day Mins;Eve Mins;Night Mins;Intl Mins;Area Code;Phone
25;265.1;197.4;244.7;10;415;382-4657
26;161.6;195.5;254.4;13.7;415;371-7191
0;243.4;121.2;162.6;12.2;415;358-1921
0;299.4;61.9;196.9;6.6;408;375-9999
0;166.7;148.3;186.9;10.1;415;330-6626
0;223.4;220.6;203.9;6.3;510;391-8027
24;218.2;348.5;212.6;7.5;510;355-9993
0;157;103.1;211.8;7.1;415;329-9001
0;184.5;351.6;215.8;8.7;408;335-4719
37;258.6;222;326.4;11.2;415;330-8173
0;129.1;228.5;208.8;12.7;415;329-6603
0;187.7;163.4;196;9.1;415;344-9403
0;128.8;104.9;141.1;11.2;408;363-1107
0;156.6;247.6;192.3;12.3;510;394-8006
0;120.7;307.2;203;13.1;415;366-9238
0;332.9;317.8;160.6;5.4;415;351-7269
27;196.4;280.9;89.3;13.8;408;350-8884
0;190.7;218.2;129.6;8.1;510;386-2923
33;189.7;212.8;165.7;10;510;356-2992
0;224.4;159.5;192.8;13;415;373-2782
0;155.1;239.7;208.8;10.6;415;396-5800
0;62.4;169.9;209.6;5.7;408;393-7984
0;183;72.9;181.8;9.5;415;358-1958
0;110.4;137.3;189.6;7.7;415;350-2565
0;81.1;245.2;237;10.3;510;343-4696
0;124.3;277.1;250.7;15.5;415;331-3698
39;213;191.1;182.7;9.5;408;357-3817
0;134.3;155.5;102.1;14.7;408;418-6412
0;190;258.2;181.5;6.3;415;353-2630
0;119.3;215.1;178.7;11.1;510;410-7789
0;84.8;136.7;250.5;14.2;415;416-8428
0;226.1;201.5;246.2;10.3;510;370-3359
0;212;31.2;293.3;12.6;408;383-1121
0;249.6;252.4;280.2;11.8;408;360-1596
25;176.8;195;213.5;8.3;408;395-2854
37;220;217.3;152.8;14.7;415;362-1407
30;146.3;162.5;129.3;14.5;408;341-9764
0;130.8;223.7;227.8;10;415;353-3305
33;203.9;187.6;101.7;10.5;415;402-1381
0;140.4;271.8;188.3;11.1;408;332-9891
0;126.3;166.8;187.8;9.4;408;372-9976
41;173.1;203.9;122.2;14.6;408;383-6029
0;124.8;282.2;311.5;10;510;353-7289
0;85.8;165.3;178.5;9.2;415;390-7274
0;154;225.8;265.3;3.5;510;352-1237
28;120.9;213;163.1;8.5;408;353-3061
0;211.3;162.6;134.7;13.2;415;363-5450
0;187;134.6;242.2;7.4;408;364-1995
0;159.1;231.3;143.2;8.8;415;398-1294
24;133.2;217.2;70.6;11;415;405-7146
0;191.9;269.8;236.8;7.8;408;413-4957
0;220.6;211.1;249;6.8;408;420-5645
0;186.1;190.2;282.8;11.4;408;349-4396
0;160.2;267.5;228.5;9.3;415;404-3211
0;151;219.7;203.9;9.7;415;353-3759
0;175.5;249.3;270.2;10.2;408;363-5947
0;126.9;180;140.8;8;415;340-5121
30;198.4;75.3;181.2;5.8;408;370-7574
0;148.8;246.5;129.8;12.1;415;403-9733
0;229.3;177.4;189.3;12;408;355-7251
0;192.1;169.9;166.6;11.4;408;359-5893
34;268.6;178.2;166.3;11.6;415;405-3371
33;193.7;246.1;138;14.6;510;344-5117
28;180.7;187.8;265.5;12.6;408;332-8160
0;131.2;162.9;159;8.2;408;359-4081
41;148.1;169.5;214.1;6.2;415;352-8305
0;251.5;212.8;157.8;9.3;415;329-9847
0;125.2;206.4;129.3;8.3;408;365-9011
0;211.6;216.9;153.5;7.8;408;338-9472
0;178.9;169.1;148.6;13.8;510;374-8042
0;241.8;170.5;295.3;11.8;408;359-1231
46;224.9;188.2;254.6;12.1;510;413-7170
0;248.6;148.9;172.5;8;510;415-2935
0;203.4;226.7;152.4;7.3;415;399-4246
0;235.8;157.2;188.2;12;415;362-5889
0;157.1;223.3;181.4;6.1;415;350-8921
0;300.3;181;270.1;11.7;415;374-5353
0;61.6;77.1;173;8.2;408;360-1171
0;214.1;164.4;177.5;8.2;415;355-8887
0;170.2;155.2;228.6;15;408;333-1967
0;201.1;303.5;224;13.2;415;354-4577
0;215.4;204.8;278.5;12.6;415;331-7425
25;165.6;136.1;175.7;11;408;419-2637
24;249.5;259.7;222.7;9.8;415;411-1530
0;210.6;249.2;191.4;12.4;510;395-3026
29;179.3;225.9;323;8.6;510;388-6441
0;157.9;155;189.6;8;408;402-1251
0;214.3;208.5;182.4;12;510;412-9997
35;154.1;123.4;202.1;10.9;415;346-7302
0;237.9;247.6;208.9;13.9;415;358-9095
0;143.9;194.9;109.6;11.1;510;400-9770
0;203.4;190.9;196;8.9;415;334-1275
0;124.3;173;253.2;7.9;415;340-4953
0;252.9;178.4;263.9;9.5;415;400-9510
0;179.1;190.6;127.7;10.6;415;387-6103
0;278.4;81;163.2;9.8;408;366-4467
0;160.1;213.3;174.1;13;415;370-3450
0;198.2;207.3;190.9;8.7;415;327-3954
0;212.1;209.4;167.2;5.3;408;355-6291
0;251.8;205.7;275.2;9.8;415;362-9748
21;161.2;252.2;160.2;4.4;510;379-6506
0;178.3;189;129.1;14.6;415;347-7741
0;151.7;119;180;10.5;415;354-3783
0;135;183.6;245.3;12.5;408;401-7594
0;170.5;173.7;248.6;11.3;408;397-4976
0;238.1;187.2;190;11.8;408;334-2577
29;281.4;202.2;187.2;9;510;400-3637
21;117.9;164.5;217;9.8;510;383-4361
32;148.6;131.1;219.4;10.1;415;371-4306
0;229.8;147.9;241.4;9.6;408;403-4298
0;165;317.2;119.2;8.3;408;409-3786
0;185;223.3;222.8;12.6;415;337-4697
0;161;190.9;227.7;12.1;408;383-1509
0;126.7;206;247.8;13.3;408;359-9794
0;58.9;169.6;211.4;9.4;415;407-7035
42;196.8;254.9;138.3;20;510;363-1069
0;162.6;152.3;57.5;14.2;510;391-4652
0;282.5;219.9;170;9.4;415;355-6837
36;113.7;157.5;177.6;10;510;409-1244
0;239.8;214.8;143.3;8.7;408;328-3266
0;210.2;227.3;200.1;13.1;408;352-7072
22;213.8;141.8;142.2;7.2;408;370-7550
0;190.7;183.5;220.8;9.8;510;369-5526
0;170.9;132.3;112.9;11.6;415;329-4391
0;154.2;110.2;227.4;9.2;510;408-4195
0;201.4;229.4;252.5;12;408;354-4445
0;70.7;157.5;154.8;9.1;415;335-4858
27;187.5;146.6;225.7;6.4;510;414-8718
0;91.7;193.7;175;9.2;408;409-5939
36;214.2;161.7;264.7;9.5;408;331-4902
0;145.5;217.7;146.9;10.9;415;353-6870
0;166.3;158.2;256.7;6.1;408;355-2909
0;231;230.4;261.4;9.5;415;390-6101
0;200.3;201.2;206.1;7.1;408;400-3446
0;197;202.6;206.4;9.1;408;411-5859
0;129.9;173.3;247.2;11.2;510;387-2919
21;175.8;217.5;237.5;5.3;415;374-8525
0;203.1;210.1;195.6;12;510;379-5592
36;183.2;126.8;263.3;11.2;510;345-8237
23;205;152;158.6;10.2;415;422-6690
0;148.5;276.4;193.6;12.4;510;346-2359
39;200.3;220.4;253.8;10.5;415;374-3534
28;192.6;195.5;109.7;6.8;415;381-4756
0;246.5;195.5;200.5;11.7;510;390-2805
0;167.1;177.5;249.4;14.1;408;390-2390
0;231.9;160.1;110.4;14.3;415;419-9097
0;146.7;203.5;203.4;13.7;408;386-7281
0;271.5;216.3;121.1;11.7;408;380-3561
0;181.5;218.4;161.6;8.5;408;390-8760
43;257.7;162.1;286.9;11.1;408;366-6730
0;193.8;221.4;172.3;10.6;408;395-5285
0;102.8;206.7;299;10.1;415;354-3436
0;187.9;157.6;227.3;7.5;408;336-7600
0;226;248.5;140.5;6.9;415;383-6293
0;260.4;146;269.5;11.5;415;362-4596
0;178.7;292.1;265.9;9.8;408;401-3926
0;337.4;227.4;153.9;15.8;415;370-9116
23;157.6;247;259.2;13.7;510;328-6289
0;183.6;256.7;178.6;10.2;510;350-9994
24;142.1;183.4;164.8;9.6;510;351-4616
0;136.3;172.2;137.5;7.1;415;360-5779
0;217.1;241.5;253.5;12;415;417-4885
36;187.5;241.4;229.5;10.5;510;406-4710
0;98.9;135.4;236.6;12.2;415;409-8743
0;206.3;148.6;167.2;6.1;415;335-4584
33;243.1;213.8;228.7;12.1;415;361-9845
31;189.8;163.3;264.8;7.5;510;366-5699
0;202;243.2;261.3;10.9;415;329-9364
38;170.1;193.3;105.9;12.8;408;390-7434
0;230.9;187.4;154;6.3;510;404-9680
0;237.1;223.5;97.4;13.2;408;338-9398
27;182.1;169.7;164.7;10.6;408;394-2445
0;119.3;211.5;268.9;10.5;415;381-2709
0;116.8;178.9;182.4;14.1;415;397-5060
0;219.2;149.4;244.7;6.1;408;415-2393
0;252.6;169;170.9;11.1;415;377-1765
0;147.1;190.4;195.2;12.2;415;409-2111
0;202.1;229.4;195.2;11.5;415;401-3170
0;173.5;194.1;208;16.2;408;405-5681
0;232.1;292.3;201.2;0;408;411-4582
23;197.1;214.5;282.2;9.5;510;355-5009
0;58.2;138.7;136.8;11.9;415;372-3750
36;115.6;237.7;169.9;9.9;408;405-2888
0;186.1;254.3;214;14.6;408;361-3337
0;259.9;245;134.4;8.4;510;350-1639
0;214.3;268.5;241.2;10.8;415;333-3221
0;158.7;64.3;198.5;10.2;408;422-1471
0;271.6;229.4;77.3;10.9;415;399-7865
0;160.6;163.2;187.1;9;510;373-4819
0;232.4;187.4;231.2;9.1;408;338-6981
0;133.8;180.5;112.2;8.9;415;418-4365
0;176.9;90.7;238;9.5;415;359-5461
0;209.9;195.1;208.2;8.8;408;375-3586
0;137.5;203.2;150;13.4;415;407-8376
23;289.5;166.6;119.1;9.5;408;408-6496
23;198.1;177;180.5;6.8;415;385-7688
0;149.7;182.2;261.5;9.7;415;332-6934
0;326.5;176.3;181.7;10.7;510;378-3625
26;292.9;199.7;255.3;13.8;510;353-7292
0;83;177;245.7;13;408;399-6786
24;145.7;220.5;249.9;13.1;415;358-3261
0;182.3;328.2;245;11.2;408;377-9932
0;218;184;240.5;6.4;415;397-4030
0;140.6;178.6;217;6.8;510;367-1062
0;152.7;257.5;198.1;9.4;415;341-8467
36;106.7;209.8;190.4;12.1;415;339-9453
0;243.8;83.9;179.8;13.7;415;344-3388
0;194.4;186.7;223.3;10.8;415;375-8013
0;213.9;151.9;260.1;12.2;510;408-4142
0;217.2;246.7;226.1;15.8;510;386-3671
0;241.1;155.6;188.2;11.6;415;411-2284
0;203.5;247.6;194.3;11.9;510;346-7795
24;155.2;244.5;122.4;10.7;415;333-5609
31;167.6;113;246.9;12.2;408;405-1842
0;226.7;228.1;73.2;17.6;510;366-6345
0;179.3;178.6;225.2;11.5;415;337-9345
0;151.4;186.4;172.5;10.9;415;328-6770
0;180;224.2;265.4;4.7;415;380-7321
0;250.2;267.1;151;13;415;375-1476
0;223;110.1;188.7;7.1;415;356-1567
0;183.6;152.6;212.2;12.2;415;422-6685
22;166;174.5;244.9;10.2;408;336-1090
0;136.1;272.9;220.2;4.4;415;343-2095
